Looking for PortfolioManager address starting with 0x40Ac2e...
(Case-insensitive: will match 0x40Ac2e, 0x40ac2e, 0x40AC2E, etc.)
Deployer address: 0x40FecA5f7156030b78200450852792ea93f7c6cd
Generating bytecode...
Bytecode hash: 0x6bacbee0128635d7bcd8eaf92b8a47421f98d9bb390060519ed422713ef074e3
Starting search...
Target prefix: 0x40Ac2e... (first 6 hex characters, case-insensitive)
Press Ctrl+C to stop

Attempts: 16,900,000 | Speed: 1152/s | Current: 0x29c13819e60c4ace90cbe6dcce13e475ae6376c9
Attempts: 17,000,000 | Speed: 1152/s | Current: 0xbb3d8e520873b19e00466537d231a19441114b18
Attempts: 17,100,000 | Speed: 1152/s | Current: 0x20293b64650ac7c80b3995f62850f14aca4a6cb9
Attempts: 17,200,000 | Speed: 1152/s | Current: 0xffe24aa7f88c7ecca6740eef4c2ef1dc0600c7c4
Attempts: 17,300,000 | Speed: 1153/s | Current: 0xbb9612b2dcc10d554a074d19b4e81c7115847b1c
Attempts: 17,400,000 | Speed: 1152/s | Current: 0xc7f1e15908808d474e8f96a6b47b84dc9788abb2
Attempts: 17,500,000 | Speed: 1153/s | Current: 0xd595754b719fe1a43ebe0261b884a80afed2c220
Attempts: 17,600,000 | Speed: 1153/s | Current: 0x159db31dea75f8ba7b3c16fb2f314426bcafa824
Attempts: 17,700,000 | Speed: 1153/s | Current: 0x5e9dbf94f267adfdd189d28e6c053d7dfbdf9bed
Attempts: 17,800,000 | Speed: 1152/s | Current: 0x38572c639642f1bbd73512c5a243300e2d01c27d
Attempts: 17,900,000 | Speed: 1152/s | Current: 0x996fdfe7ff9eff957f6cc4567132834a98f93ff8
Attempts: 18,000,000 | Speed: 1152/s | Current: 0xaf6b38cb00e22632d72b5b21929dd248275573f0
Attempts: 18,100,000 | Speed: 1152/s | Current: 0x015e3476c1df72c7df65504ad4a4c7c65ddfc486
Attempts: 18,200,000 | Speed: 1152/s | Current: 0xb0dc618b72488fb4f94c47e5184df92a5f0a5565
Attempts: 18,300,000 | Speed: 1152/s | Current: 0x5bfba6e783dd6f8944735fb388e7a3ec472ec223
Attempts: 18,400,000 | Speed: 1152/s | Current: 0x4365fbeb84f38789a0e9aa7169401378851bbac5
